PT	AU	BA	BE	GP	AF	CA	TI	SO	SE	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	FU	FX	CR	NR	TC	Z9	PU	PI	PA	SN	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	BP	EP	AR	DI	D2	PG	P2	WC	SC	GA	UT
J	Park, B; Han, K				Park, Byungkyu; Han, Kyungsook		A reliability measure of protein-protein interactions and a reliability measure-based search engine	COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING																								1025-5842					2010	13	1				97	104		10.1080/10255840903062537							WOS:000274221500010	
J	Kanapin, AA; Mulder, N; Kuznetsov, VA				Kanapin, Alexander A.; Mulder, Nicola; Kuznetsov, Vladimir A.		Projection of gene-protein networks to the functional space of the proteome and its application to analysis of organism complexity	BMC GENOMICS				International Workshop on Computational Systems Biology Approaches to Analysis of Genome Complexity and Regulatory Gene Networks	NOV 20-25, 2008	Singapore, SINGAPORE																		1471-2164					2010	11			1				S4	10.1186/1471-2164-11-S1-S4							WOS:000275030000004	
J	Ferrezuelo, F; Colomina, N; Futcher, B; Aldea, M				Ferrezuelo, Francisco; Colomina, Neus; Futcher, Bruce; Aldea, Marti		The transcriptional network activated by Cln3 cyclin at the G1-to-S transition of the yeast cell cycle	GENOME BIOLOGY																								1474-760X					2010	11	6						R67	10.1186/gb-2010-11-6-r67							WOS:000283775700010	
J	Tian, CG; Beeson, WT; Iavarone, AT; Sun, JP; Marletta, MA; Cate, JHD; Glass, NL				Tian, Chaoguang; Beeson, William T.; Iavarone, Anthony T.; Sun, Jianping; Marletta, Michael A.; Cate, Jamie H. D.; Glass, N. Louise		Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA																								0027-8424				DEC 29	2009	106	52				22157	22162		10.1073/pnas.0906810106							WOS:000273178700024	
J	Benbadis, L; Cot, M; Rigoulet, M; Francois, J				Benbadis, Laurent; Cot, Marlene; Rigoulet, Michel; Francois, Jean		Isolation of two cell populations from yeast during high-level alcoholic fermentation that resemble quiescent and nonquiescent cells from the stationary phase on glucose	FEMS YEAST RESEARCH																								1567-1356				DEC	2009	9	8				1172	1186		10.1111/j.1567-1364.2009.00553.x							WOS:000271264400005	
J	Gibbons, JG; Janson, EM; Hittinger, CT; Johnston, M; Abbot, P; Rokas, A				Gibbons, John G.; Janson, Eric M.; Hittinger, Chris Todd; Johnston, Mark; Abbot, Patrick; Rokas, Antonis		Benchmarking Next-Generation Transcriptome Sequencing for Functional and Evolutionary Genomics	MOLECULAR BIOLOGY AND EVOLUTION																								0737-4038				DEC	2009	26	12				2731	2744		10.1093/molbev/msp188							WOS:000271818500008	
J	Gardiner, DM; Kazan, K; Manners, JM				Gardiner, Donald M.; Kazan, Kemal; Manners, John M.		Novel Genes of Fusarium graminearum That Negatively Regulate Deoxynivalenol Production and Virulence	MOLECULAR PLANT-MICROBE INTERACTIONS																								0894-0282				DEC	2009	22	12				1588	1600		10.1094/MPMI-22-12-1588							WOS:000271506000012	
J	Trzcinska-Danielewicz, J; Bilska, A; Fronk, J; Zielenkiewicz, P; Jarochowska, E; Roszczyk, M; Jonczyk, M; Axentowicz, E; Skoneczny, M; Sowinski, P				Trzcinska-Danielewicz, Joanna; Bilska, Anna; Fronk, Jan; Zielenkiewicz, Piotr; Jarochowska, Emilia; Roszczyk, Marlena; Jonczyk, Maciej; Axentowicz, Ewa; Skoneczny, Marek; Sowinski, Pawel		Global analysis of gene expression in maize leaves treated with low temperature I. Moderate chilling (14 degrees C)	PLANT SCIENCE																								0168-9452				DEC	2009	177	6				648	658		10.1016/j.plantsci.2009.09.001							WOS:000271552000019	
J	Hutchison, E; Brown, S; Tian, CG; Glass, NL				Hutchison, Elizabeth; Brown, Sarah; Tian, Chaoguang; Glass, N. Louise		Transcriptional profiling and functional analysis of heterokaryon incompatibility in Neurospora crassa reveals that reactive oxygen species, but not metacaspases, are associated with programmed cell death	MICROBIOLOGY-SGM																								1350-0872				DEC	2009	155					3957	3970		10.1099/mic.0.032284-0							WOS:000272918200017	
J	Vollmeister, E; Haag, C; Zarnack, K; Baumann, S; Konig, J; Mannhaupt, G; Feldbrugge, M				Vollmeister, Evelyn; Haag, Carl; Zarnack, Kathi; Baumann, Sebastian; Koenig, Julian; Mannhaupt, Gertrud; Feldbruegge, Michael		Tandem KH domains of Khd4 recognize AUACCC and are essential for regulation of morphology as well as pathogenicity in Ustilago maydis	RNA-A PUBLICATION OF THE RNA SOCIETY																								1355-8382				DEC	2009	15	12				2206	2218		10.1261/rna.1817609							WOS:000272169000012	
J	Meyer, V; Arentshorst, M; Flitter, SJ; Nitsche, BM; Kwon, MJ; Reynaga-Pena, CG; Bartnicki-Garcia, S; van den Hondel, CAMJJ; Ram, AFJ				Meyer, Vera; Arentshorst, Mark; Flitter, Simon J.; Nitsche, Benjamin M.; Kwon, Min Jin; Reynaga-Pena, Cristina G.; Bartnicki-Garcia, Salomon; van den Hondel, Cees A. M. J. J.; Ram, Arthur F. J.		Reconstruction of Signaling Networks Regulating Fungal Morphogenesis by Transcriptomics	EUKARYOTIC CELL																								1535-9778				NOV	2009	8	11				1677	1691		10.1128/EC.00050-09							WOS:000271368700007	
J	Lichtenberg, J; Yilmaz, A; Welch, JD; Kurz, K; Liang, XY; Drews, F; Ecker, K; Lee, SS; Geisler, M; Grotewold, E; Welch, LR				Lichtenberg, Jens; Yilmaz, Alper; Welch, Joshua D.; Kurz, Kyle; Liang, Xiaoyu; Drews, Frank; Ecker, Klaus; Lee, Stephen S.; Geisler, Matt; Grotewold, Erich; Welch, Lonnie R.		The word landscape of the non-coding segments of the Arabidopsis thaliana genome	BMC GENOMICS																								1471-2164				OCT 8	2009	10							463	10.1186/1471-2164-10-463							WOS:000271879400001	
J	Lal, K; Bromley, E; Oakes, R; Prieto, JH; Sanderson, SJ; Kurian, D; Hunt, L; Yates, JR; Wastling, JM; Sinden, RE; Tomley, FM				Lal, Kalpana; Bromley, Elizabeth; Oakes, Richard; Prieto, Judith Helena; Sanderson, Sanya J.; Kurian, Dominic; Hunt, Lawrence; Yates, John R., III; Wastling, Jonathan M.; Sinden, Robert E.; Tomley, Fiona M.		Proteomic comparison of four Eimeria tenella life-cycle stages: Unsporulated oocyst, sporulated oocyst, sporozoite and second-generation merozoite	PROTEOMICS																								1615-9853				OCT	2009	9	19				4566	4576		10.1002/pmic.200900305							WOS:000271095500014	
J	Ludwikow, A; Kierzek, D; Gallois, P; Zeef, L; Sadowski, J				Ludwikow, Agnieszka; Kierzek, Dorota; Gallois, Patrick; Zeef, Leo; Sadowski, Jan		Gene expression profiling of ozone-treated Arabidopsis abi1td insertional mutant: protein phosphatase 2C ABI1 modulates biosynthesis ratio of ABA and ethylene	PLANTA																								0032-0935				OCT	2009	230	5				1003	1017		10.1007/s00425-009-1001-8							WOS:000270187000012	
J	Grobei, MA; Qeli, E; Brunner, E; Rehrauer, H; Zhang, RX; Roschitzki, B; Basler, K; Ahrens, CH; Grossniklaus, U				Grobei, Monica A.; Qeli, Ermir; Brunner, Erich; Rehrauer, Hubert; Zhang, Runxuan; Roschitzki, Bernd; Basler, Konrad; Ahrens, Christian H.; Grossniklaus, Ueli		Deterministic protein inference for shotgun proteomics data provides new insights into Arabidopsis pollen development and function	GENOME RESEARCH																								1088-9051				OCT	2009	19	10				1786	1800		10.1101/gr.089060.108							WOS:000270389700011	
J	Huttenhower, C; Hibbs, MA; Myers, CL; Caudy, AA; Hess, DC; Troyanskaya, OG				Huttenhower, Curtis; Hibbs, Matthew A.; Myers, Chad L.; Caudy, Amy A.; Hess, David C.; Troyanskaya, Olga G.		The impact of incomplete knowledge on evaluation: an experimental benchmark for protein function prediction	BIOINFORMATICS																								1367-4803				SEP 15	2009	25	18				2404	2410		10.1093/bioinformatics/btp397							WOS:000269607700017	
J	Zhang, H; Chen, JA; Wang, YQ; Peng, L; Dong, XX; Lu, Y; Keating, AE; Jiang, TJ				Zhang, Hong; Chen, Jinan; Wang, Yongqiang; Peng, Lin; Dong, Xiaoxi; Lu, Yi; Keating, Amy E.; Jiang, Taijiao		A Computationally Guided Protein-Interaction Screen Uncovers Coiled-Coil Interactions Involved in Vesicular Trafficking	JOURNAL OF MOLECULAR BIOLOGY																								0022-2836				SEP 11	2009	392	1				228	241		10.1016/j.jmb.2009.07.006							WOS:000270123600019	
J	Sun, PG; Gao, L				Sun, Penggang; Gao, Lin		A fast iterative-clique percolation method for identifying functional modules in protein interaction networks	FRONTIERS OF COMPUTER SCIENCE IN CHINA																								1673-7350				SEP	2009	3	3				405	411		10.1007/s11704-009-0048-9							WOS:000207971100015	
J	Videira, A; Kasuga, T; Tian, CG; Lemos, C; Castro, A; Glass, NL				Videira, Arnaldo; Kasuga, Takao; Tian, Chaoguang; Lemos, Catarina; Castro, Ana; Glass, N. Louise		Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function	MICROBIOLOGY-SGM																								1350-0872				SEP	2009	155					3134	3141		10.1099/mic.0.029710-0							WOS:000270264300032	
J	Cuff, A; Redfern, OC; Greene, L; Sillitoe, I; Lewis, T; Dibley, M; Reid, A; Pearl, F; Dallman, T; Todd, A; Garratt, R; Thornton, J; Orengo, C				Cuff, Alison; Redfern, Oliver C.; Greene, Lesley; Sillitoe, Ian; Lewis, Tony; Dibley, Mark; Reid, Adam; Pearl, Frances; Dallman, Tim; Todd, Annabel; Garratt, Richard; Thornton, Janet; Orengo, Christine		The CATH Hierarchy Revisited-Structural Divergence in Domain Superfamilies and the Continuity of Fold Space	STRUCTURE																								0969-2126				AUG 12	2009	17	8				1051	1062		10.1016/j.str.2009.06.015							WOS:000269229100006	
J	Takahara, H; Dolf, A; Endl, E; O'Connell, R				Takahara, Hiroyuki; Dolf, Andreas; Endl, Elmar; O'Connell, Richard		Flow cytometric purification of Colletotrichum higginsianum biotrophic hyphae from Arabidopsis leaves for stage-specific transcriptome analysis	PLANT JOURNAL																								0960-7412				AUG	2009	59	4				672	683		10.1111/j.1365-313X.2009.03896.x							WOS:000268961600014	
J	Li, GJ; Ma, Q; Tang, HB; Paterson, AH; Xu, Y				Li, Guojun; Ma, Qin; Tang, Haibao; Paterson, Andrew H.; Xu, Ying		QUBIC: a qualitative biclustering algorithm for analyses of gene expression data	NUCLEIC ACIDS RESEARCH																								0305-1048				AUG	2009	37	15						e101	10.1093/nar/gkp491							WOS:000270016400032	
J	Dinh, TN; Nagahisa, K; Yoshikawa, K; Hirasawa, T; Furusawa, C; Shimizu, H				Dinh, Thai Nho; Nagahisa, Keisuke; Yoshikawa, Katsunori; Hirasawa, Takashi; Furusawa, Chikara; Shimizu, Hiroshi		Analysis of adaptation to high ethanol concentration in Saccharomyces cerevisiae using DNA microarray	BIOPROCESS AND BIOSYSTEMS ENGINEERING																								1615-7591				AUG	2009	32	5				681	688		10.1007/s00449-008-0292-7							WOS:000268294600015	
J	Konig, J; Baumann, S; Koepke, J; Pohlmann, T; Zarnack, K; Feldbrugge, M				Koenig, Julian; Baumann, Sebastian; Koepke, Janine; Pohlmann, Thomas; Zarnack, Kathi; Feldbruegge, Michael		The fungal RNA-binding protein Rrm4 mediates long-distance transport of ubi1 and rho3 mRNAs	EMBO JOURNAL																								0261-4189				JUL 8	2009	28	13				1855	1866		10.1038/emboj.2009.145							WOS:000267806700005	
J	Kwon, MJ; Oh, E; Lee, S; Roh, MR; Kim, SE; Lee, Y; Choi, YL; In, YH; Park, T; Koh, SS; Shin, YK				Kwon, Mi Jeong; Oh, Ensel; Lee, Seungmook; Roh, Mi Ra; Kim, Si Eun; Lee, Yangsoon; Choi, Yoon-La; In, Yong-Ho; Park, Taesung; Koh, Sang Seok; Shin, Young Kee		Identification of Novel Reference Genes Using Multiplatform Expression Data and Their Validation for Quantitative Gene Expression Analysis	PLOS ONE																								1932-6203				JUL 7	2009	4	7						e6162	10.1371/journal.pone.0006162							WOS:000267806400017	
J	Khozoie, C; Pleass, RJ; Avery, SV				Khozoie, Combiz; Pleass, Richard J.; Avery, Simon V.		The Antimalarial Drug Quinine Disrupts Tat2p-mediated Tryptophan Transport and Causes Tryptophan Starvation	JOURNAL OF BIOLOGICAL CHEMISTRY																								0021-9258				JUL 3	2009	284	27				17968	17974		10.1074/jbc.M109.005843							WOS:000267712400008	
J	Zihler, A; Le Blay, G; de Wouters, T; Lacroix, C; Braegger, CP; Lehner, A; Tischler, P; Rattei, T; Hachler, H; Stephan, R				Zihler, A.; Le Blay, G.; de Wouters, T.; Lacroix, C.; Braegger, C. P.; Lehner, A.; Tischler, P.; Rattei, T.; Haechler, H.; Stephan, R.		In vitro inhibition activity of different bacteriocin-producing Escherichia coli against Salmonella strains isolated from clinical cases	LETTERS IN APPLIED MICROBIOLOGY																								0266-8254				JUL	2009	49	1				31	38		10.1111/j.1472-765X.2009.02614.x							WOS:000266924300006	
J	Aprile, A; Mastrangelo, AM; De Leonardis, AM; Galiba, G; Roncaglia, E; Ferrari, F; De Bellis, L; Turchi, L; Giuliano, G; Cattivelli, L				Aprile, Alessio; Mastrangelo, Anna M.; De Leonardis, Anna M.; Galiba, Gabor; Roncaglia, Enrica; Ferrari, Francesco; De Bellis, Luigi; Turchi, Luana; Giuliano, Giovanni; Cattivelli, Luigi		Transcriptional profiling in response to terminal drought stress reveals differential responses along the wheat genome	BMC GENOMICS																								1471-2164				JUN 24	2009	10							279	10.1186/1471-2164-10-279							WOS:000268754100001	
J	Rizzini, FM; Bonghi, C; Tonutti, P				Rizzini, Fabio Massimo; Bonghi, Claudio; Tonutti, Pietro		Postharvest water loss induces marked changes in transcript profiling in skins of wine grape berries	POSTHARVEST BIOLOGY AND TECHNOLOGY																								0925-5214				JUN	2009	52	3				247	253		10.1016/j.postharvbio.2008.12.004							WOS:000266135700001	
J	Sacher, O; Reitz, M; Gasteiger, J				Sacher, Oliver; Reitz, Martin; Gasteiger, Johann		Investigations of Enzyme-Catalyzed Reactions Based on Physicochemical Descriptors Applied to Hydrolases	JOURNAL OF CHEMICAL INFORMATION AND MODELING																								1549-9596				JUN	2009	49	6				1525	1534		10.1021/ci800277f							WOS:000267394300019	
J	Huang, JY				Huang, Jiun-Yan		Tomography of functional organization in protein-protein interaction network	PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS																								0378-4371				MAY 15	2009	388	10				2072	2080		10.1016/j.physa.2009.01.023							WOS:000265016600012	
J	Pandey, G; Myers, CL; Kumar, V				Pandey, Gaurav; Myers, Chad L.; Kumar, Vipin		Incorporating functional inter-relationships into protein function prediction algorithms	BMC BIOINFORMATICS																								1471-2105				MAY 12	2009	10							142	10.1186/1471-2105-10-142							WOS:000267595000001	
J	Blanco, F; Salinas, P; Cecchini, NM; Jordana, X; Van Hummelen, P; Alvarez, ME; Holuigue, L				Blanco, Francisca; Salinas, Paula; Cecchini, Nicolas M.; Jordana, Xavier; Van Hummelen, Paul; Alvarez, Maria Elena; Holuigue, Loreto		Early genomic responses to salicylic acid in Arabidopsis	PLANT MOLECULAR BIOLOGY																								0167-4412				MAY	2009	70	1-2				79	102		10.1007/s11103-009-9458-1							WOS:000264880200006	
J	Golkari, S; Gilbert, J; Ban, T; Procunier, JD				Golkari, Saber; Gilbert, Jeannie; Ban, Tomohiro; Procunier, J. Douglas		QTL-specific microarray gene expression analysis of wheat resistance to Fusarium head blight in Sumai-3 and two susceptible NILs	GENOME																								0831-2796				MAY	2009	52	5				409	418		10.1139/G09-018							WOS:000266441800001	
J	Schlink, K				Schlink, Katja		Identification and characterization of differentially expressed genes from Fagus sylvatica roots after infection with Phytophthora citricola	PLANT CELL REPORTS																								0721-7714				MAY	2009	28	5				873	882		10.1007/s00299-009-0694-2							WOS:000265774600014	
J	Chen, CH; Ringelberg, CS; Gross, RH; Dunlap, JC; Loros, JJ				Chen, Chen-Hui; Ringelberg, Carol S.; Gross, Robert H.; Dunlap, Jay C.; Loros, Jennifer J.		Genome-wide analysis of light-inducible responses reveals hierarchical light signalling in Neurospora	EMBO JOURNAL																								0261-4189				APR 22	2009	28	8				1029	1042		10.1038/emboj.2009.54							WOS:000265478400006	
J	Kasuga, T; Mannhaupt, G; Glass, NL				Kasuga, Takao; Mannhaupt, Gertrud; Glass, N. Louise		Relationship between Phylogenetic Distribution and Genomic Features in Neurospora crassa	PLOS ONE																								1932-6203				APR 21	2009	4	4						e5286	10.1371/journal.pone.0005286							WOS:000265513800017	
J	Balbuena, TS; Silveira, V; Junqueira, M; Dias, LLC; Santa-Catarina, C; Shevchenko, A; Floh, EIS				Balbuena, Tiago S.; Silveira, Vanildo; Junqueira, Magno; Dias, Leonardo L. C.; Santa-Catarina, Claudete; Shevchenko, Andrej; Floh, Eny I. S.		Changes in the 2-DE protein profile during zygotic embryogenesis in the Brazilian Pine (Araucaria angustifolia)	JOURNAL OF PROTEOMICS																								1874-3919				APR 13	2009	72	3				337	352		10.1016/j.jprot.2009.01.011							WOS:000265804800005	
J	Addou, S; Rentzsch, R; Lee, D; Orengo, CA				Addou, Sarah; Rentzsch, Robert; Lee, David; Orengo, Christine A.		Domain-Based and Family-Specific Sequence Identity Thresholds Increase the Levels of Reliable Protein Function Transfer	JOURNAL OF MOLECULAR BIOLOGY																								0022-2836				MAR 27	2009	387	2				416	430		10.1016/j.jmb.2008.12.045							WOS:000264941400013	
J	Lal, K; Prieto, JH; Bromley, E; Sanderson, SJ; Yates, JR; Wastling, JM; Tomley, FM; Sinden, RE				Lal, Kalpana; Prieto, Judith Helena; Bromley, Elizabeth; Sanderson, Sanya J.; Yates, John R., III; Wastling, Jonathan M.; Tomley, Fiona M.; Sinden, Robert E.		Characterisation of Plasmodium invasive organelles; an ookinete microneme proteome	PROTEOMICS																								1615-9853				MAR	2009	9	5				1142	1151		10.1002/pmic.200800404							WOS:000264695900004	
J	Cao, T; Kim, YM; Kav, NNV; Strelkov, SE				Cao, Tiesen; Kim, Yong Min; Kav, Nat N. V.; Strelkov, Stephen E.		A proteomic evaluation of Pyrenophora tritici-repentis, causal agent of tan spot of wheat, reveals major differences between virulent and avirulent isolates	PROTEOMICS																								1615-9853				MAR	2009	9	5				1177	1196		10.1002/pmic.200800475							WOS:000264695900006	
J	Cho, WK; Chen, XY; Uddin, NM; Rim, Y; Moon, J; Jung, JH; Shi, C; Chu, H; Kim, S; Kim, SW; Park, ZY; Kim, JY				Cho, Won Kyong; Chen, Xiong-Yan; Uddin, Nazim Mohamad; Rim, Yeonggil; Moon, Juyeon; Jung, Jin-Hee; Shi, Chunlin; Chu, Hyosub; Kim, Suwha; Kim, Seon-Won; Park, Zee-Yong; Kim, Jae-Yean		Comprehensive proteome analysis of lettuce latex using multidimensional protein-identification technology	PHYTOCHEMISTRY																								0031-9422				MAR	2009	70	5				570	578		10.1016/j.phytochem.2009.03.004							WOS:000266399600001	
J	Urano, K; Maruyama, K; Ogata, Y; Morishita, Y; Takeda, M; Sakurai, N; Suzuki, H; Saito, K; Shibata, D; Kobayashi, M; Yamaguchi-Shinozaki, K; Shinozaki, K				Urano, Kaoru; Maruyama, Kyonoshin; Ogata, Yoshiyuki; Morishita, Yoshihiko; Takeda, Migiwa; Sakurai, Nozomu; Suzuki, Hideyuki; Saito, Kazuki; Shibata, Daisuke; Kobayashi, Masatomo; Yamaguchi-Shinozaki, Kazuko; Shinozaki, Kazuo		Characterization of the ABA-regulated global responses to dehydration in Arabidopsis by metabolomics	PLANT JOURNAL																								0960-7412				MAR	2009	57	6				1065	1078		10.1111/j.1365-313X.2008.03748.x							WOS:000264088100009	
J	Yagi, N; Takeda, S; Matsumoto, N; Okada, K				Yagi, Noriyoshi; Takeda, Seiji; Matsumoto, Noritaka; Okada, Kiyotaka		VAJ/GFA1/CLO is Involved in the Directional Control of Floral Organ Growth	PLANT AND CELL PHYSIOLOGY																								0032-0781				MAR	2009	50	3				515	527		10.1093/pcp/pcp011							WOS:000264395800008	
J	Jacobs, DI; Olsthoorn, MMA; Maillet, I; Akeroyd, M; Breestraat, S; Donkers, S; van der Hoeven, RAM; van den Hondel, CAMJJ; Kooistra, R; Lapointe, T; Menke, H; Meulenberg, R; Misset, M; Muller, WH; van Peij, NNME; Ram, A; Rodriguez, S; Roelofs, MS; Roubos, JA; van Tilborg, MWEM; Verkleij, AJ; Pel, HJ; Stam, H; Sagt, CMJ				Jacobs, Denise I.; Olsthoorn, Maurien M. A.; Maillet, Isabelle; Akeroyd, Michiel; Breestraat, Stefaan; Donkers, Serge; van der Hoeven, Rob A. M.; van den Hondel, Cees A. M. J. J.; Kooistra, Rolf; Lapointe, Thomas; Menke, Hildegard; Meulenberg, Rogier; Misset, Marijke; Mueller, Wally H.; van Peij, Noel N. M. E.; Ram, Arthur; Rodriguez, Sabrina; Roelofs, Marc S.; Roubos, Johannes A.; van Tilborg, Marcel W. E. M.; Verkleij, Arie J.; Pel, Herman J.; Stam, Hein; Sagt, Cees M. J.		Effective lead selection for improved protein production in Aspergillus niger based on integrated genomics	FUNGAL GENETICS AND BIOLOGY																								1087-1845				MAR	2009	46					S141	S152		10.1016/j.fgb.2008.08.012							WOS:000264227100013	
J	Gibbons, JG; Rokas, A				Gibbons, John G.; Rokas, Antonis		Comparative and Functional Characterization of Intragenic Tandem Repeats in 10 Aspergillus Genomes	MOLECULAR BIOLOGY AND EVOLUTION																								0737-4038				MAR	2009	26	3				591	602		10.1093/molbev/msn277							WOS:000263420900011	
J	Harrigan, GG; Stork, LG; Riordan, SG; Reynolds, TL; Taylor, JP; Masucci, JD; Cao, YW; LeDeaux, JR; Pandravada, A; Glenn, KC				Harrigan, George G.; Stork, LeAnna G.; Riordan, Susan G.; Reynolds, Tracey L.; Taylor, J. Philip; Masucci, James D.; Cao, Yongwei; LeDeaux, John R.; Pandravada, Anand; Glenn, Kevin C.		Impact of environmental and genetic factors on expression of maize gene classes: Relevance to grain composition	JOURNAL OF FOOD COMPOSITION AND ANALYSIS																								0889-1575				MAR	2009	22	2				158	164		10.1016/j.jfca.2008.08.005							WOS:000264920500011	
J	Stimpson, AJ; Pereira, RS; Kiss, JZ; Correll, MJ				Stimpson, Alexander J.; Pereira, Rhea S.; Kiss, John Z.; Correll, Melanie J.		Extraction and labeling methods for microarrays using small amounts of plant tissue	PHYSIOLOGIA PLANTARUM																								0031-9317				MAR	2009	135	3				229	236		10.1111/j.1399-3054.2008.01191.x							WOS:000263302600001	
J	Harris, DM; van der Krogt, ZA; Klaassen, P; Raamsdonk, LM; Hage, S; van den Berg, MA; Bovenberg, RAL; Pronk, JT; Daran, JM				Harris, Diana M.; van der Krogt, Zita A.; Klaassen, Paul; Raamsdonk, Leonie M.; Hage, Susanne; van den Berg, Marco A.; Bovenberg, Roel A. L.; Pronk, Jack T.; Daran, Jean-Marc		Exploring and dissecting genome-wide gene expression responses of Penicillium chrysogenum to phenylacetic acid consumption and penicillinG production	BMC GENOMICS																								1471-2164				FEB 10	2009	10							75	10.1186/1471-2164-10-75							WOS:000264972100001	
J	Yoshikawa, K; Tanaka, T; Furusawa, C; Nagahisa, K; Hirasawa, T; Shimizu, H				Yoshikawa, Katsunori; Tanaka, Tadamasa; Furusawa, Chikara; Nagahisa, Keisuke; Hirasawa, Takashi; Shimizu, Hiroshi		Comprehensive phenotypic analysis for identification of genes affecting growth under ethanol stress in Saccharomyces cerevisiae	FEMS YEAST RESEARCH																								1567-1356				FEB	2009	9	1				32	44		10.1111/j.1567-1364.2008.00456.x							WOS:000262314000004	
J	Kumari, S; Panjabi , V; Kushwaha, H; Sopory, S; Singla-Pareek, S; Pareek, A				Kumari, Sumita; Panjabi nee Sabharwal, Vaishali; Kushwaha, Hemant R.; Sopory, Sudhir K.; Singla-Pareek, Sneh L.; Pareek, Ashwani		Transcriptome map for seedling stage specific salinity stress response indicates a specific set of genes as candidate for saline tolerance in Oryza sativa L.	FUNCTIONAL & INTEGRATIVE GENOMICS																								1438-793X				FEB	2009	9	1				109	123		10.1007/s10142-008-0088-5							WOS:000263542400010	
J	Morohashi, K; Grotewold, E				Morohashi, Kengo; Grotewold, Erich		A Systems Approach Reveals Regulatory Circuitry for Arabidopsis Trichome Initiation by the GL3 and GL1 Selectors	PLOS GENETICS																								1553-7390				FEB	2009	5	2						e1000396	10.1371/journal.pgen.1000396							WOS:000266320000035	
J	Nguyen, HT; Leipner, J; Stamp, P; Guerra-Peraza, O				Nguyen, Ha Thuy; Leipner, Jorg; Stamp, Peter; Guerra-Peraza, Orlene		Low temperature stress in maize (Zea mays L.) induces genes involved in photosynthesis and signal transduction as studied by suppression subtractive hybridization	PLANT PHYSIOLOGY AND BIOCHEMISTRY																								0981-9428				FEB	2009	47	2				116	122		10.1016/j.plaphy.2008.10.010							WOS:000263596200006	
J	Rokas, A				Rokas, Antonis		The effect of domestication on the fungal proteome	TRENDS IN GENETICS																								0168-9525				FEB	2009	25	2				60	63		10.1016/j.tig.2008.11.003							WOS:000263926800001	
J	Azaiez, A; Boyle, B; Levee, V; Seguin, A				Azaiez, Aida; Boyle, Brian; Levee, Valerie; Seguin, Armand		Transcriptome Profiling in Hybrid Poplar Following Interactions with Melampsora Rust Fungi	MOLECULAR PLANT-MICROBE INTERACTIONS																								0894-0282				FEB	2009	22	2				190	200		10.1094/MPMI-22-2-0190							WOS:000262441400008	
J	Jorgensen, TR; Goosen, T; den Hondel, CAMJJ; Ram, AFJ; Iversen, JJL				Jorgensen, Thomas R.; Goosen, Theo; van den Hondel, Cees A. M. J. J.; Ram, Arthur F. J.; Iversen, Jens J. L.		Transcriptomic comparison of Aspergillus niger growing on two different sugars reveals coordinated regulation of the secretory pathway	BMC GENOMICS																								1471-2164				JAN 23	2009	10							44	10.1186/1471-2164-10-44							WOS:000264121700001	
J	Aloui, A; Recorbet, G; Gollotte, A; Robert, F; Valot, B; Gianinazzi-Pearson, V; Aschi-Smiti, S; Dumas-Gaudot, E				Aloui, Achref; Recorbet, Ghislaine; Gollotte, Armelle; Robert, Franck; Valot, Benoit; Gianinazzi-Pearson, Vivienne; Aschi-Smiti, Samira; Dumas-Gaudot, Eliane		On the mechanisms of cadmium stress alleviation in Medicago truncatula by arbuscular mycorrhizal symbiosis: A root proteomic study	PROTEOMICS																								1615-9853				JAN	2009	9	2				420	433		10.1002/pmic.200800336							WOS:000263117600017	
S	Rance, B; Gibrat, JF; Froidevaux, C		Paton, NW; Missier, P; Hedeler, C		Rance, Bastien; Gibrat, Jean-Francois; Froidevaux, Christine		An Adaptive Combination of Matchers: Application to the Mapping of Biological Ontologies for Genome Annotation	DATA INTEGRATION IN THE LIFE SCIENCES, PROCEEDINGS	Lecture Notes in Computer Science			6th International Workshop on Data Integration in the Life Sciences	JUL 20-22, 2009	Manchester, ENGLAND	ENFIN	Manchester Univ																0302-9743	978-3-642-02878-6				2009	5647					113	126									WOS:000268628000010	
S	Valentini, G		Benediktsson, JA; Kittler, J; Roli, F		Valentini, Giorgio		True Path Rule Hierarchical Ensembles	MULTIPLE CLASSIFIER SYSTEMS, PROCEEDINGS	Lecture Notes in Computer Science			8th International Workshop on Multiple Classifier Systems	JUN 10-12, 2009	Reykjavik, ICELAND	Int Assioc Patern Recognit & Tech Comm 1, IEEE Geosci & Remote Sensing Soc, IEEE Iceland Sect, Univ Cagliari, Univ Surrey	Univ Iceland																0302-9743	978-3-642-02325-5				2009	5519					232	241									WOS:000269293000024	
